2016-10-24,中国标准时间:23:56:48,Start Auto Reply,"Program Start.","wechat-_tmain()"
2016-10-24,中国标准时间:23:56:57,Receive Message,"Unreadable Character Cannot be Printed.UNICODE:abed efae acee 996d ", "wechar-getMSG()"
2016-10-24,中国标准时间:23:57:09,Receive Message,"t","wechar-getMSG()"
2016-10-24,中国标准时间:23:57:12,Send Message,"Hello, I am Alice, the intelligent AI chatting with English. At the moment, my master is busy so I will help him reply the requests. Besides, you can leave messages and I will inform him.","wechat-sendMSG()"
2016-10-24,中国标准时间:23:57:14,Send Message,"Are we still talking about 7d27 # ?","wechat-sendMSG()"
2016-10-24,中国标准时间:23:57:30,Receive Message,"no","wechar-getMSG()"
2016-10-24,中国标准时间:23:57:32,Send Message,"What is the subject?","wechat-sendMSG()"
2016-10-24,中国标准时间:23:57:38,Receive Message,"你好","wechar-getMSG()"
2016-10-24,中国标准时间:23:57:41,Send Message,"Sorry, I can only understand English. Talk with me in English. THX~","wechat-sendMSG()"
2016-10-24,中国标准时间:23:57:43,Send Message,"你好呀Unreadable Character Cannot be Printed.UNICODE:4f60 597d 5440 ea9d ", "wechat-sendMSG()"
2016-10-24,中国标准时间:23:57:59,Receive Message,"截","wechar-getMSG()"
2016-10-24,中国标准时间:23:58:01,Send Message,"Sorry, I can only understand English. Talk with me in English. THX~","wechat-sendMSG()"
2016-10-24,中国标准时间:23:58:04,Send Message,"祭","wechat-sendMSG()"
2016-10-24,中国标准时间:23:58:17,Receive Message,"发","wechar-getMSG()"
2016-10-24,中国标准时间:23:58:19,Send Message,"Sorry, I can only understand English. Talk with me in English. THX~","wechat-sendMSG()"
2016-10-24,中国标准时间:23:58:21,Send Message,"I","wechat-sendMSG()"
2016-10-24,中国标准时间:23:58:28,Receive Message,"和和","wechar-getMSG()"
2016-10-24,中国标准时间:23:58:30,Send Message,"Sorry, I can only understand English. Talk with me in English. THX~","wechat-sendMSG()"
2016-10-24,中国标准时间:23:58:32,Send Message,"Unreadable Character Cannot be Printed.UNICODE:1eea ab53 cd9d ", "wechat-sendMSG()"
2016-10-24,中国标准时间:23:58:45,Receive Message,"我想","wechar-getMSG()"
2016-10-24,中国标准时间:23:58:47,Send Message,"Sorry, I can only understand English. Talk with me in English. THX~","wechat-sendMSG()"
2016-10-24,中国标准时间:23:58:50,Send Message,"Unreadable Character Cannot be Printed.UNICODE:ab9d ", "wechat-sendMSG()"
2016-10-24,中国标准时间:23:58:56,Receive Message,"你喜欢什么游戏","wechar-getMSG()"
2016-10-24,中国标准时间:23:58:58,Send Message,"Sorry, I can only understand English. Talk with me in English. THX~","wechat-sendMSG()"
2016-10-24,中国标准时间:23:59:01,Send Message,"我最喜欢秽翼的尤斯蒂娅","wechat-sendMSG()"